Time	f(number(86400)/count()) – Bitcoin
06.05.2015	536.6459627329192
07.05.2015	612.7659574468086
08.05.2015	576
09.05.2015	669.7674418604652
10.05.2015	669.7674418604652
11.05.2015	546.8354430379746
12.05.2015	576
13.05.2015	533.3333333333334
14.05.2015	561.038961038961
15.05.2015	587.7551020408164
16.05.2015	654.5454545454545
17.05.2015	505.2631578947368
18.05.2015	600
19.05.2015	664.6153846153846
20.05.2015	595.8620689655172
21.05.2015	557.4193548387096
22.05.2015	626.0869565217391
23.05.2015	771.4285714285714
24.05.2015	591.7808219178082
25.05.2015	612.7659574468086
26.05.2015	600
27.05.2015	626.0869565217391
28.05.2015	654.5454545454545
29.05.2015	561.038961038961
30.05.2015	635.2941176470588
31.05.2015	583.7837837837837
01.06.2015	654.5454545454545
02.06.2015	576
03.06.2015	608.4507042253521
04.06.2015	612.7659574468086
05.06.2015	626.0869565217391
06.06.2015	485.39325842696627
07.06.2015	579.8657718120805
08.06.2015	550.3184713375796
09.06.2015	572.1854304635762
10.06.2015	511.2426035502959
11.06.2015	640
12.06.2015	608.4507042253521
13.06.2015	543.3962264150944
14.06.2015	583.7837837837837
15.06.2015	600
16.06.2015	732.2033898305085
17.06.2015	546.8354430379746
18.06.2015	553.8461538461538
19.06.2015	587.7551020408164
20.06.2015	644.776119402985
21.06.2015	696.7741935483871
22.06.2015	564.7058823529412
23.06.2015	617.1428571428571
24.06.2015	553.8461538461538
25.06.2015	568.421052631579
26.06.2015	561.038961038961
27.06.2015	669.7674418604652
28.06.2015	612.7659574468086
29.06.2015	617.1428571428571
30.06.2015	595.8620689655172
01.07.2015	640
02.07.2015	561.038961038961
03.07.2015	536.6459627329192
04.07.2015	568.421052631579
05.07.2015	608.4507042253521
06.07.2015	477.34806629834253
07.07.2015	644.776119402985
08.07.2015	536.6459627329192
09.07.2015	649.624060150376
10.07.2015	561.038961038961
11.07.2015	583.7837837837837
12.07.2015	640
13.07.2015	583.7837837837837
14.07.2015	600
15.07.2015	564.7058823529412
16.07.2015	644.776119402985
17.07.2015	587.7551020408164
18.07.2015	579.8657718120805
19.07.2015	568.421052631579
20.07.2015	553.8461538461538
21.07.2015	680.3149606299213
22.07.2015	561.038961038961
23.07.2015	617.1428571428571
24.07.2015	511.2426035502959
25.07.2015	561.038961038961
26.07.2015	600
27.07.2015	579.8657718120805
28.07.2015	635.2941176470588
29.07.2015	568.421052631579
30.07.2015	644.776119402985
31.07.2015	572.1854304635762
01.08.2015	557.4193548387096
02.08.2015	572.1854304635762
03.08.2015	550.3184713375796
04.08.2015	635.2941176470588
05.08.2015	649.624060150376
06.08.2015	604.1958041958042
07.08.2015	630.6569343065694
08.08.2015	536.6459627329192
09.08.2015	608.4507042253521
10.08.2015	517.3652694610779
11.08.2015	533.3333333333334
12.08.2015	685.7142857142857
13.08.2015	587.7551020408164
14.08.2015	608.4507042253521
15.08.2015	630.6569343065694
16.08.2015	626.0869565217391
17.08.2015	587.7551020408164
18.08.2015	612.7659574468086
19.08.2015	553.8461538461538
20.08.2015	576
21.08.2015	523.6363636363636
22.08.2015	546.8354430379746
23.08.2015	644.776119402985
24.08.2015	557.4193548387096
25.08.2015	640
26.08.2015	536.6459627329192
27.08.2015	630.6569343065694
28.08.2015	557.4193548387096
29.08.2015	540
30.08.2015	576
31.08.2015	550.3184713375796
01.09.2015	561.038961038961
02.09.2015	540
03.09.2015	591.7808219178082
04.09.2015	553.8461538461538
05.09.2015	587.7551020408164
06.09.2015	600
07.09.2015	568.421052631579
08.09.2015	635.2941176470588
09.09.2015	579.8657718120805
10.09.2015	505.2631578947368
11.09.2015	546.8354430379746
12.09.2015	640
13.09.2015	572.1854304635762
14.09.2015	568.421052631579
15.09.2015	540
16.09.2015	608.4507042253521
17.09.2015	600
18.09.2015	587.7551020408164
19.09.2015	691.2
20.09.2015	675
21.09.2015	654.5454545454545
22.09.2015	550.3184713375796
23.09.2015	546.8354430379746
24.09.2015	617.1428571428571
25.09.2015	526.829268292683
26.09.2015	587.7551020408164
27.09.2015	579.8657718120805
28.09.2015	604.1958041958042
29.09.2015	496.55172413793105
30.09.2015	583.7837837837837
01.10.2015	579.8657718120805
02.10.2015	626.0869565217391
03.10.2015	595.8620689655172
04.10.2015	564.7058823529412
05.10.2015	564.7058823529412
06.10.2015	608.4507042253521
07.10.2015	649.624060150376
08.10.2015	617.1428571428571
09.10.2015	685.7142857142857
10.10.2015	540
11.10.2015	591.7808219178082
12.10.2015	608.4507042253521
13.10.2015	630.6569343065694
14.10.2015	568.421052631579
15.10.2015	520.4819277108434
16.10.2015	600
17.10.2015	635.2941176470588
18.10.2015	595.8620689655172
19.10.2015	523.6363636363636
20.10.2015	675
21.10.2015	600
22.10.2015	583.7837837837837
23.10.2015	579.8657718120805
24.10.2015	595.8620689655172
25.10.2015	557.4193548387096
26.10.2015	526.829268292683
27.10.2015	587.7551020408164
28.10.2015	621.5827338129496
29.10.2015	572.1854304635762
30.10.2015	505.2631578947368
31.10.2015	587.7551020408164
01.11.2015	564.7058823529412
02.11.2015	564.7058823529412
03.11.2015	557.4193548387096
04.11.2015	557.4193548387096
05.11.2015	591.7808219178082
06.11.2015	595.8620689655172
07.11.2015	568.421052631579
08.11.2015	621.5827338129496
09.11.2015	579.8657718120805
10.11.2015	591.7808219178082
11.11.2015	514.2857142857143
12.11.2015	536.6459627329192
13.11.2015	540
14.11.2015	608.4507042253521
15.11.2015	540
16.11.2015	499.4219653179191
17.11.2015	579.8657718120805
18.11.2015	564.7058823529412
19.11.2015	635.2941176470588
20.11.2015	517.3652694610779
21.11.2015	496.55172413793105
22.11.2015	502.3255813953488
23.11.2015	530.0613496932515
24.11.2015	553.8461538461538
25.11.2015	583.7837837837837
26.11.2015	490.90909090909093
27.11.2015	649.624060150376
28.11.2015	561.038961038961
29.11.2015	579.8657718120805
30.11.2015	533.3333333333334
01.12.2015	517.3652694610779
02.12.2015	536.6459627329192
03.12.2015	608.4507042253521
04.12.2015	564.7058823529412
05.12.2015	493.7142857142857
06.12.2015	543.3962264150944
07.12.2015	587.7551020408164
08.12.2015	493.7142857142857
09.12.2015	514.2857142857143
10.12.2015	400
11.12.2015	540
12.12.2015	533.3333333333334
13.12.2015	608.4507042253521
14.12.2015	443.0769230769231
15.12.2015	472.1311475409836
16.12.2015	530.0613496932515
17.12.2015	557.4193548387096
18.12.2015	511.2426035502959
19.12.2015	550.3184713375796
20.12.2015	523.6363636363636
21.12.2015	579.8657718120805
22.12.2015	576
23.12.2015	550.3184713375796
24.12.2015	626.0869565217391
25.12.2015	533.3333333333334
26.12.2015	505.2631578947368
27.12.2015	421.4634146341463
28.12.2015	572.1854304635762
29.12.2015	543.3962264150944
30.12.2015	523.6363636363636
31.12.2015	608.4507042253521
01.01.2016	640
02.01.2016	595.8620689655172
03.01.2016	595.8620689655172
04.01.2016	477.34806629834253
05.01.2016	550.3184713375796
06.01.2016	612.7659574468086
07.01.2016	587.7551020408164
08.01.2016	499.4219653179191
09.01.2016	572.1854304635762
10.01.2016	493.7142857142857
11.01.2016	508.2352941176471
12.01.2016	508.2352941176471
13.01.2016	583.7837837837837
14.01.2016	649.624060150376
15.01.2016	708.1967213114754
16.01.2016	608.4507042253521
17.01.2016	572.1854304635762
18.01.2016	499.4219653179191
19.01.2016	649.624060150376
20.01.2016	568.421052631579
21.01.2016	630.6569343065694
22.01.2016	490.90909090909093
23.01.2016	482.6815642458101
24.01.2016	505.2631578947368
25.01.2016	533.3333333333334
26.01.2016	540
27.01.2016	557.4193548387096
28.01.2016	591.7808219178082
29.01.2016	511.2426035502959
30.01.2016	462.03208556149735
31.01.2016	477.34806629834253
01.02.2016	536.6459627329192
02.02.2016	480
03.02.2016	482.6815642458101
04.02.2016	514.2857142857143
05.02.2016	459.5744680851064
06.02.2016	432
07.02.2016	490.90909090909093
08.02.2016	583.7837837837837
09.02.2016	490.90909090909093
10.02.2016	526.829268292683
11.02.2016	450
12.02.2016	505.2631578947368
13.02.2016	553.8461538461538
14.02.2016	520.4819277108434
15.02.2016	568.421052631579
16.02.2016	626.0869565217391
17.02.2016	557.4193548387096
18.02.2016	511.2426035502959
19.02.2016	595.8620689655172
20.02.2016	576
21.02.2016	675
